song_id,genre
SOJCRUY12A67ADA4C2,Folk
SONQBUB12A6D4F8ED0,Rock
SODHVES12A6701CE6B,Pop
SOLRYQR12A670215BF,Rock
SOCHRXB12A8AE48069,Pop
SOJYWLL12AB018A7AD,Rap
SOEHWGF12A6D4F8B2B,Pop
SOXQYSC12A6310E908,Pop
SOGDNAW12A6D4F6804,Rock
SOEAKIB12A8AE48D12,Rock
SOHTWLT12A8C13CFE1,Rock
SOGKZXO12A8C13E3EE,Rock
SOHDWWH12A6D4F7F6A,Rock
SOARUPP12AB01842E0,Rap
SOKNMJE12A67AE0421,Electronic
SOWFVMV12A6D4F60F1,Rock
SOBCKIM12A8C13936C,Pop
SOWKYKT12A58A79589,Rock
SOSJDQJ12A8C13D4A9,Electronic
SOQCXSG12A8C13949F,Punk
SOALFUO12AF72A4B98,Rock
SOJNJGQ12A6D4F62BC,Rap
SOSMXVH12A58A7CA6C,Pop
SOVAEBW12AB0182CE6,Rock
SOKHURT12AB0185DE0,Country
SOMMSMW12A8C13FCCC,Rock
SOECCQW12AC468675B,Rock
SOSYMSX12A6310DFE2,Rock
SOCSEYN12A6D4F8178,RnB
SOCJHPS12A6D4F8523,Rock
SONRUWP12A8C143EC7,Latin
SONSOGD12B0B8092E7,Electronic
SOYKOSN12A8C141858,Pop
SOHWVJJ12AB0185F6D,Rock
SOSMYQF12A6D4F570D,Rock
SOENHFL12A81C2362B,Folk
SOJQOIK12AF72A0AAF,Rap
SOTLAOJ12A6D4FB4B2,Electronic
SOVFRDB12AB017FF3A,Rap
SOMLSMH12A6310DF24,Rap
SOCNCGL127D9786D66,Pop
SOAJLUX12AB0188F4D,Pop
SORJVDO12AF72A1970,Rock
SOEPAUG12AB0183116,Metal
SOCQQSU12AB0185BF4,Rock
SOXDKAG12A6D4FA94A,Rock
SOIPTIG12A8C13E99E,Rock
SOCHBAJ12AAF3B3A4F,Rock
SOBONKR12A58A7A7E0,Country
SODTPBM12A8C1339D7,RnB
SOWNTTN12A8C141571,Electronic
SOBBZPM12AB017DF4B,Rock
SOGCDYR12AC961854A,Rock
SOFMMKA12A58A7CBF5,Pop
SOVOZSC12A8C144E73,Rock
SOJCEQS12AB0188A1B,Pop
SOKSREW12A6D4F926D,Rock
SOPPBPK12A8C14683C,Pop
SOHQTKJ12A8AE46A88,Rock
SOQDMXT12A6D4F8255,Metal
SOYDHXP12AB01849D4,Rock
SOWEFTO12A3F1EB976,Rock
SODLAPJ12A8C142002,Folk
SOJRTBO129F06A9450,Electronic
SOBRFPG12A8AE4837D,Rock
SORLLRN12A58A7F1EE,RnB
SOPSJIO12AC468D588,Rock
SONZWDK12A6701F62B,Pop
SOTJXIH12A6D228208,Rock
SOYVCJU12A67AD8617,Rock
SOEHTZE12A6310F0F2,Rock
SOSZHGZ12A8C13B75E,Punk
SOYWPMG12A6D4F901A,Country
SOYXUDL12A582A2695,Rock
SOBFTUR12AB0184285,Rock
SOXOURR12AB0186379,Rock
SOTYSQF12A8C13E0AA,Rock
SOEJKBA12A8C144192,Rock
SOETQSU12A58A7E2A0,Rock
SOHZDYL12A8C141C73,Rock
SOVVCON12A6D4F775F,Electronic
SOPZKUG12A8C1417E1,Pop
SOPWKOX12A8C139D43,Rock
SOUHTWB12A8C13BA4D,RnB
SOEHGER12A8AE47DB2,Pop
SOJQSWK12A6701ED51,Electronic
SOUNZHU12A8AE47481,Jazz
SOQMLOV12A8C142A0C,Electronic
SOLTIVF12AAFF43797,Reggae
SOJMUAN12AB0183911,Rap
SOZRDUV12A58A7B361,Reggae
SOLLNRI12AB0187563,Rock
SOIDFJR12A6D4F7EB0,Rock
SOSMOPO12A8AE4825E,Rock
SOISJAK12A8C142C4B,Folk
SOJQLZR12AB018909F,Country
SOQTPLM12B0B809575,Rock
SOVBFNH12A58A7875F,Latin
SOOAYBY12AB0186D7D,Electronic
SOXYRHQ12A58A77779,Rock
SOCFTJO12AB018CF2D,Electronic
SOJWFXM12A3F1EBE8B,Rock
SOGOMEI12A67ADE989,Rock
SOMULTQ12A67ADE98A,Rock
SOUGLIK12A8C143DF4,Rap
SOYZHGH12A67AE0ED5,Reggae
SOUFWFG12AC9072C7E,Rock
SORTFPF12A81C2171A,Pop
SORZRNA12AB0182E04,Rock
SOQLLHX12AF72A3586,Rock
SOONMJC12A8AE46A69,Electronic
SOSBEAB12A6D4FACF3,Electronic
SOYHCYU12A6701FBC2,Rock
SOOPVJI12AB0183957,Blues
SOQLNEY12B0B8062FA,Rock
SORAHAG12AB0182BD0,Rock
SOHCUGK12AF729E4E3,Latin
SOSGFNT12AB0182B70,Rock
SOHGFPP12A8AE4624D,Rock
SOKMBHF12A58A7ACE4,Pop
SOYYIZT12A8C1408CA,Rock
SOIYPLX12AB0189CA2,Pop
SOBSEGK12A58A7BEBF,Punk
SOOGSKM12AB018B11D,Rock
SOKUCXB12A6D4FAC0C,Rock
SOCGBXK12A6D4F780F,New Age
SOLQNMW12A8C13A068,Reggae
SOEIQUY12AF72A086A,Rock
SOBTDFV12B0B80B789,Rap
SOQBRAQ12A58A7D473,Rock
SOQNPQX12A8C135E46,Pop
SOQCQNU12A8C138694,RnB
SODKJWI12A8151BD74,Rock
SOKUWEX12AB0188EF4,Rap
SOSNGDI12A6D4FB4A1,Folk
SOEPCYC12AB0186423,Rock
SOPJINA12A6310D991,Rock
SOARSZY12A8C140F20,Rock
SOBCPBL12A8C139768,Pop
SOGIFFP12A6701BF53,Rap
SOYKQSR12A6D4FCAC2,Electronic
SOUCKDH12A8C138FF5,Electronic
SODWLOQ12AB017EC73,Electronic
SOHGVQA12AB0186DC9,Pop
SOFLPEY12A6D4FD775,Latin
SODBMSF12A8C135DFD,Electronic
SOTUKRT12A58A76AEB,Rock
SOTNWCI12AAF3B2028,Country
SONQEYS12AF72AABC9,Rock
SOARTRF12AB0181F4D,Pop
SOFLKHX12A6701C32A,Rock
SOOYAHI12AB0180EF9,Rock
SOBJUKG12A58A7DCA8,Pop
SOKJITL12AB017E7FF,Rock
SOPWUCY12A8C13932E,Rock
SOXABVV12A58A7996C,World
SOHZPHA12A8C13701F,RnB
SOMRZNS12AF72AADC5,Pop
SOAKLAU12A6D4F7602,Rock
SOWTCLZ12A8AE4572F,Electronic
SOKYHYL12A8C13D79D,Rap
SOUMONA12A6310DA5F,Rock
